TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
meta,view_style=board,,,,,,,
section,Google,,,,,,,
task,Look into the project added in portfolio,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Prepare tell about yourself,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,https://www.codinginterview.com/google-interview-questions,1,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,https://www.coursera.org/specializations/algorithms#courses,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Programming - InterviewBit](https://www.interviewbit.com/courses/programming/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,https://www.youtube.com/playlist?list=PLA8lYuzFlBqAy6dkZHj5VxUAaqr4vwrka,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[HiredInTech's Training Camp for Coding Interviews](https://www.hiredintech.com/courses/system-design),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Grokking the System Design Interview - Learn Interactively](https://www.educative.io/courses/grokking-the-system-design-interview),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Move google notes in one note to github,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Championship,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,What tech stack,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,What work is done in the team,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,How long is a sprint,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,How many people in a team,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,When is the fiscal year,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Any tips for interview prep?,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,What was the biggest challenge when you joined the team?,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Are there test engineers in the team?,4,2,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
section,Must,,,,,,,
task,[K'th Smallest/Largest Element in Unsorted Array](https://www.geeksforgeeks.org/kth-smallestlargest-element-unsorted-array-set-2-expected-linear-time/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Valid Palindrome II](https://leetcode.com/problems/valid-palindrome-ii/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Convert numbers to words](https://www.netjstech.com/2018/11/converting-numbers-to-words-java-program.html),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Number of islands](https://leetcode.com/problems/number-of-islands/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Detecting Cycles in a Directed Graph](https://www.baeldung.com/cs/detecting-cycles-in-directed-graph),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Generate all permutations of a string Recursive and Iterative](https://www.techiedelight.com/generate-permutations-string-java-recursive-iterative/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Implement Trie](https://leetcode.com/problems/implement-trie-prefix-tree/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Search Autocomplete](https://leetcode.com/problems/design-search-autocomplete-system/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Subarray Sum Equals K](https://leetcode.com/problems/subarray-sum-equals-k/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
section,Pending,,,,,,,
task,Radix Sort,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Bucket Sort,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,Quick Sort implementation,4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
task,[Palindrome Pair](https://leetcode.com/problems/palindrome-pairs/solution/),4,1,Dona (31209856),,,en,America/Los_Angeles
,,,,,,,,
